Link,p_nom_opt
INTFR,0.0
INTNED,0.0
INTEW,0.0
INTNEM,0.0
INTIFA2,0.0
INTNSL,0.0
INTELEC,0.0
Dinorwig_HPS_charger,1728.0
Ffestiniog_HPS_charger,360.0
Cruachan_HPS_charger,1000.0
Foyers_HPS_charger,300.0
CoireGlas_HPS_charger,1500.0
Dinorwig_HPS_discharger,1728.0
Ffestiniog_HPS_discharger,360.0
Cruachan_HPS_discharger,1000.0
Foyers_HPS_discharger,300.0
CoireGlas_HPS_discharger,1500.0
EN_NorthEast_Battery_charger,13322.777809652835
EN_NorthWest_Battery_charger,2644.482429079903
EN_Yorkshire_Battery_charger,2687.3487538695076
EN_EastMidlands_Battery_charger,2933.470592961714
EN_WestMidlands_Battery_charger,1855.9805308402315
EN_East_Battery_charger,1856.3952357794415
EN_London_Battery_charger,2515.6909247529256
EN_SouthEast_Battery_charger,2130.472122457514
EN_SouthWest_Battery_charger,1522.39858844133
EN_Wales_Battery_charger,1481.316742374871
Scotland_Battery_charger,82761.4726426991
NorthernIreland_Battery_charger,1362.0346545726702
EN_NorthEast_Battery_discharger,14811.258020524776
EN_NorthWest_Battery_discharger,3933.343330133193
EN_Yorkshire_Battery_discharger,2567.062715634467
EN_EastMidlands_Battery_discharger,3727.767022040691
EN_WestMidlands_Battery_discharger,3001.7709427726036
EN_East_Battery_discharger,2338.8038717554077
EN_London_Battery_discharger,5094.310553403845
EN_SouthEast_Battery_discharger,2254.97215587663
EN_SouthWest_Battery_discharger,1764.4080422823893
EN_Wales_Battery_discharger,1056.3727237355251
Scotland_Battery_discharger,82761.4726426991
NorthernIreland_Battery_discharger,1359.2138252769223
EN_NorthEast_OtherStorage_charger,2993.5791173520643
EN_NorthWest_OtherStorage_charger,2908.9182813824527
EN_Yorkshire_OtherStorage_charger,2417.4078061051587
EN_EastMidlands_OtherStorage_charger,1602.6138818842765
EN_WestMidlands_OtherStorage_charger,1695.6408507847373
EN_East_OtherStorage_charger,2355.679505040624
EN_London_OtherStorage_charger,2588.473690675378
EN_SouthEast_OtherStorage_charger,2117.05431171857
EN_SouthWest_OtherStorage_charger,1755.5523317310885
EN_Wales_OtherStorage_charger,1279.3409565255588
Scotland_OtherStorage_charger,17666.17525193924
NorthernIreland_OtherStorage_charger,1390.11113876542
EN_NorthEast_OtherStorage_discharger,2354.1048790221457
EN_NorthWest_OtherStorage_discharger,5013.105666514462
EN_Yorkshire_OtherStorage_discharger,3877.69156895
EN_EastMidlands_OtherStorage_discharger,2810.5495990977192
EN_WestMidlands_OtherStorage_discharger,3809.9573036407464
EN_East_OtherStorage_discharger,2667.771841752458
EN_London_OtherStorage_discharger,2947.0057341458487
EN_SouthEast_OtherStorage_discharger,2502.448549326004
EN_SouthWest_OtherStorage_discharger,2170.3045460150724
EN_Wales_OtherStorage_discharger,1181.210929481337
Scotland_OtherStorage_discharger,25158.05070849143
NorthernIreland_OtherStorage_discharger,1775.9651111811631
