Link,p_nom_opt
INTFR,0.0
INTNED,0.0
INTEW,0.0
INTNEM,0.0
INTIFA2,0.0
INTNSL,0.0
INTELEC,0.0
Dinorwig_HPS_charger,1728.0
Ffestiniog_HPS_charger,360.0
Cruachan_HPS_charger,1000.0
Foyers_HPS_charger,300.0
CoireGlas_HPS_charger,1500.0
Dinorwig_HPS_discharger,1728.0
Ffestiniog_HPS_discharger,360.0
Cruachan_HPS_discharger,1000.0
Foyers_HPS_discharger,300.0
CoireGlas_HPS_discharger,1500.0
EN_NorthEast_Battery_charger,-0.0
EN_NorthWest_Battery_charger,-0.0
EN_Yorkshire_Battery_charger,-0.0
EN_EastMidlands_Battery_charger,-0.0
EN_WestMidlands_Battery_charger,-0.0
EN_East_Battery_charger,-0.0
EN_London_Battery_charger,-0.0
EN_SouthEast_Battery_charger,-0.0
EN_SouthWest_Battery_charger,-0.0
EN_Wales_Battery_charger,-0.0
Scotland_Battery_charger,-0.0
NorthernIreland_Battery_charger,27653.55261795691
EN_NorthEast_Battery_discharger,-0.0
EN_NorthWest_Battery_discharger,-0.0
EN_Yorkshire_Battery_discharger,-0.0
EN_EastMidlands_Battery_discharger,-0.0
EN_WestMidlands_Battery_discharger,-0.0
EN_East_Battery_discharger,-0.0
EN_London_Battery_discharger,-0.0
EN_SouthEast_Battery_discharger,-0.0
EN_SouthWest_Battery_discharger,-0.0
EN_Wales_Battery_discharger,-0.0
Scotland_Battery_discharger,-0.0
NorthernIreland_Battery_discharger,29642.175764975986
EN_NorthEast_OtherStorage_charger,-0.0
EN_NorthWest_OtherStorage_charger,-0.0
EN_Yorkshire_OtherStorage_charger,-0.0
EN_EastMidlands_OtherStorage_charger,-0.0
EN_WestMidlands_OtherStorage_charger,-0.0
EN_East_OtherStorage_charger,-0.0
EN_London_OtherStorage_charger,-0.0
EN_SouthEast_OtherStorage_charger,-0.0
EN_SouthWest_OtherStorage_charger,-0.0
EN_Wales_OtherStorage_charger,-0.0
Scotland_OtherStorage_charger,-0.0
NorthernIreland_OtherStorage_charger,-0.0
EN_NorthEast_OtherStorage_discharger,-0.0
EN_NorthWest_OtherStorage_discharger,-0.0
EN_Yorkshire_OtherStorage_discharger,-0.0
EN_EastMidlands_OtherStorage_discharger,-0.0
EN_WestMidlands_OtherStorage_discharger,-0.0
EN_East_OtherStorage_discharger,-0.0
EN_London_OtherStorage_discharger,-0.0
EN_SouthEast_OtherStorage_discharger,-0.0
EN_SouthWest_OtherStorage_discharger,-0.0
EN_Wales_OtherStorage_discharger,-0.0
Scotland_OtherStorage_discharger,-0.0
NorthernIreland_OtherStorage_discharger,-0.0
